,会话id,标注命中句,标注结果,模型预测句,模型预测结果
询问城区或学校,33117414,[{因为您就上了一科数学的话，肯定是满足不了他上课需求的，而且咱们这边，他是。那个。就是不知道哪个学校呢，还是吧。 70} {我在门能沟区，应该我没让他出去，还是在这边学。 71}],1,"
",否
询问城区或学校,33117477,[{对，就是咱们对应的那个，就是咱们那个客服老师让我跟咱们联系，因为也是了解到，就是咱们是在这个万江周边是吗。 6} {对。 7}],1,"
",否
询问城区或学校,33117477,[{平常语文90，明白，那还挺亏的，这次光语文这一科的话，就相当于丢了多丢了十分哦对，孩子初中哪个学校。 65} {对。对。就是最后一期，对，初中。 66} {对，初中。 67} {初中是首饰。 68}],1,"
",否
询问城区或学校,33117451,[{怀柔一中是吧，反正目前怀柔。安那边学生多的话，就是101跟一中的孩子多。那好。 27} {嗯。 28}],1,"
",否
询问城区或学校,33117418,[{然后是这样，我这边是有个消息，就是首师大附中昌平学校，这个学校您打过电话吗。 5} {行。哪个学校能？ 6} {首师大。 7} {我打过电话，打过电话，打的是他校长的电话。 8}],1,"
",否
询问城区或学校,33117418,[{你这101回龙观是吗？ 165} {161对。 166}],1,"
",否
询问城区或学校,33117418,[{161回龙观嘛，是吧。 223} {对。 224}],1,"
",否
询问城区或学校,33117456,[{嗯。对教材这一块的话，是按照咱们，因为孩子不是在通州这边上课嘛。 21} {嗯。 22}],1,"
",否
询问城区或学校,33117442,[{咱们那个去了哪个高中。 10} {39。 11}],1,"
",否
询问城区或学校,33117467,[],0,"销售:对，然后您现在这个校区，您是哪个校区。
客户:我这边是那个玉泉路这边的。

",是
询问城区或学校,33117410,[],0,"销售:喂，你好，是冠宇妈妈是吧，你好，这里是北京新东方学校，总部老师给您新东方。
客户:哪个学校？

",是
询问城区或学校,33117411,[],0,"销售:想去首饰是吧？
客户:对。

",是
询问城区或学校,33117468,[],0,"销售:那还不错是吧。
客户:东城最好的了。

",是
询问城区或学校,33117395,[],0,"销售:然后。华夏，再见。
销售:他目前就三节课，周六两节，周五一节对吧。那先生您要他是属于是海淀的吧，考生。
客户:对，如果我们考试的话，在东城考。

",是
询问城区或学校且家长应答,33117414,[{因为您就上了一科数学的话，肯定是满足不了他上课需求的，而且咱们这边，他是。那个。就是不知道哪个学校呢，还是吧。 70} {我在门能沟区，应该我没让他出去，还是在这边学。 71}],1,"
",否
询问城区或学校且家长应答,33117477,[{对，就是咱们对应的那个，就是咱们那个客服老师让我跟咱们联系，因为也是了解到，就是咱们是在这个万江周边是吗。 6} {对。 7}],1,"
",否
询问城区或学校且家长应答,33117477,[{平常语文90，明白，那还挺亏的，这次光语文这一科的话，就相当于丢了多丢了十分哦对，孩子初中哪个学校。 65} {对。对。就是最后一期，对，初中。 66} {对，初中。 67} {初中是首饰。 68}],1,"
",否
询问城区或学校且家长应答,33117451,[{怀柔一中是吧，反正目前怀柔。安那边学生多的话，就是101跟一中的孩子多。那好。 27} {嗯。 28}],1,"
",否
询问城区或学校且家长应答,33117418,[{然后是这样，我这边是有个消息，就是首师大附中昌平学校，这个学校您打过电话吗。 5} {行。哪个学校能？ 6} {首师大。 7} {我打过电话，打过电话，打的是他校长的电话。 8}],1,"
",否
询问城区或学校且家长应答,33117418,[{你这101回龙观是吗？ 165} {161对。 166}],1,"
",否
询问城区或学校且家长应答,33117418,[{161回龙观嘛，是吧。 223} {对。 224}],1,"
",否
询问城区或学校且家长应答,33117456,[{嗯。对教材这一块的话，是按照咱们，因为孩子不是在通州这边上课嘛。 21} {嗯。 22}],1,"
",否
询问城区或学校且家长应答,33117442,[{咱们那个去了哪个高中。 10} {39。 11}],1,"
",否
询问城区或学校且家长应答,33117467,[],0,"销售:对，然后您现在这个校区，您是哪个校区。
客户:我这边是那个玉泉路这边的。

",是
询问城区或学校且家长应答,33117410,[],0,"销售:喂，你好，是冠宇妈妈是吧，你好，这里是北京新东方学校，总部老师给您新东方。
客户:哪个学校？

",是
询问城区或学校且家长应答,33117411,[],0,"销售:想去首饰是吧？
客户:对。

",是
询问城区或学校且家长应答,33117468,[],0,"销售:那还不错是吧。
客户:东城最好的了。

",是
询问城区或学校且家长应答,33117395,[],0,"销售:然后。华夏，再见。
销售:他目前就三节课，周六两节，周五一节对吧。那先生您要他是属于是海淀的吧，考生。
客户:对，如果我们考试的话，在东城考。

",是
询问学员培训经历,33117477,[{明白，包括我看好像咱们是在时代有安排一对一对吗？包括也有小班课对吗。 8} {对。 9}],1,"
",否
询问学员培训经历,33117477,[{咱们相当于在那只剩那个小班的课时了是吗？一对一的什么的都没有了是吧。 45} {对。 46}],1,"
",否
询问学员培训经历,33117477,[{咱们之前怎么没想到在新东方这边给孩子过一过，因为你包括就像我家孩子。有啥说啥。 127} {新东方，新东方我那个。我英语好像也在新东方，原来小学的时候也上过。 128}],1,"
",否
询问学员培训经历,33117392,[{就是金牌老师带的班课是吗？ 22} {对。 23}],1,"
",否
询问学员培训经历,33117392,[{对，金牌就是贵，就是他现在这几科，是想是因为之前上过国外老师不提分，还是说。就是。知道之前有听说过咱们金牌老师。 39} {因为他在高一的时候是暑假的时候吧，新高一暑假的时候跟着那些。就是梅老师上过上过那种大班课。 40} {我知道，我看到咱们之前有上过咱们暑假新高一的课，他那种就是金牌老师吧，有两种就是有一种是班课的，一种是一对一的，他现在的话是想解决哪一部分分数问题呢？我看看是咱们班课合适还是一对一合适。 41} {现在高三了，还能适合一对一的高班课吗？ 42}],1,"
",否
询问学员培训经历,33117482,[{明白，因为他也在这上嘛，上的还挺好的，对，而且尤其像咱们新高三，就是马上上高三的这点学生，因为他没那么多时间嘛，尤其对主科的话，得抓紧跟他提，那他学了一年的话，这个语文跟他语文数学物理都在上是吧。 39} {对。都是了，对。 40}],1,"
",否
询问学员培训经历,33117478,[{因为那孩子他是跟着咱学畜期，就不打算在咱。就是机构上或者是。找老师补习了是吗？ 11} {那我不敢肯定。 12}],1,"
",否
询问学员培训经历,33117467,[{那也都是全部都线上了。 41} {对。孩子这边的话，就是他现在是那个在补这种那个。学艺术是吗？是美术吗？还是什么？ 42}],1,"
",否
询问学员培训经历,33117484,[{在咱这报的是吗。 5} {到了。 6}],1,"
",否
询问学员培训经历,33117458,[],0,"销售:上一对一是吧。
客户:嗯。

",是
询问学员培训经历,33117464,[],0,"销售:因为他可能会认为大家基本上都学过了，比如说有老师可能会做很简单，他就会第一节课再问一下大家，英语之前大家上过补习班，有多少人呢？举个手。他一看，哎呀，我们四个同学当中有三十多个是吧，都举手了。那他就他就会默认大家对于这个基础的东西呢，都已经掌握了是吧，所以就是拿这个基本读音来说。
客户:我这我这么跟您说吧，我的孩子这么多课从来没补过。

",是
询问学员培训经历,33117464,[],0,"销售:之前的话，之前像双减之前那个有很多像什么作业帮猿辅导是吧，那他们。
客户:嗯。

",是
询问学员培训经历,33117419,[],0,"销售:学习机。咱是买的什么平台的学习机。
客户:一起学习那种。你叫。扣点续费。

",是
询问学员培训经历,33117467,[],0,"销售:因为常州现在新东方还有吗。
客户:有的呀。
客户:因为是这样的，我们一直在，只不过是因为我们现在的话，不是那个咱们。

",是
询问学员培训经历,33117467,[],0,"销售:之前不是在那吗。
客户:对。
销售:但是我之前我记得不是在那个哪儿的那个。
客户:就是在那个超市发那边。

",是
询问学员培训经历,33117424,[],0,"销售:其他都上的大班课是吗？
客户:对。

",是
询问学员培训经历,33117477,[],0,"销售:是在什么在什么地方登的。
客户:就是也是一个网课吧。

",是
询问学员培训经历,33117484,[],0,"销售:咱们就是。冲一下试试，看看能大概能学哪些东西，掌握到什么情况，也看看孩子他是从什么时候开始就是学化学，没怎么学的。
客户:这个。五月。

",是
